"","pct_working","home","not_home_no_contact","company_protected","company_unprotected","pct_home","pct_not_home_no_contact","pct_company_protected","pct_company_unprotected","date","sector","weight"
"1",0.51176705225369,118718,10476,36537,11323,0.67051859884555,0.0591683893049578,0.206360771290115,0.0639522405593774,2020-03-18,"all_sectors","uniform_weight"
"2",0.524687397027454,129044,9520,33729,9231,0.710892223617814,0.0524448557766466,0.185810140807827,0.0508527797977127,2020-03-19,"all_sectors","uniform_weight"
"3",0.493057121220004,123320,8901,30839,7521,0.722941007497904,0.0521804890345349,0.180788012732954,0.044090490734607,2020-03-20,"all_sectors","uniform_weight"
"4",0.118257285397987,28078,1936,8284,2615,0.686285532715763,0.047319922762936,0.202478429838926,0.0639161146823748,2020-03-21,"all_sectors","uniform_weight"
"5",0.100541671724967,25409,1264,6217,1894,0.730479530818767,0.0363385464581417,0.178731600735971,0.0544503219871205,2020-03-22,"all_sectors","uniform_weight"
"6",0.513787482006902,130911,8991,31438,6413,0.736477021484869,0.0505814247860796,0.176863400336422,0.0360781533926291,2020-03-23,"all_sectors","uniform_weight"
"7",0.511183179850043,134233,8471,28511,5637,0.759013186166964,0.0478988080428833,0.161213896365322,0.0318741094248298,2020-03-24,"all_sectors","uniform_weight"
"8",0.488820038884726,143644,10577,39092,9583,0.707968614462582,0.0521301553505244,0.192670136424572,0.0472310937623216,2020-03-25,"all_sectors","uniform_weight"
"9",0.510283733222831,149679,10982,41526,9618,0.706683033922712,0.0518495786218456,0.19605769457756,0.045409692877883,2020-03-26,"all_sectors","uniform_weight"
"10",0.481353882329132,140469,10627,39681,9020,0.703058604483551,0.053188986821624,0.19860658568447,0.0451458230103555,2020-03-27,"all_sectors","uniform_weight"
"11",0.107178737234173,27312,2261,11325,3589,0.613932159956841,0.0508238361768607,0.254568750421471,0.0806752534448266,2020-03-28,"all_sectors","uniform_weight"
"12",0.091851312901586,25122,1521,8755,2727,0.658937704918033,0.0398950819672131,0.229639344262295,0.071527868852459,2020-03-29,"all_sectors","uniform_weight"
"13",0.510510199410706,148480,10898,43372,9149,0.700711187877243,0.0514301624830698,0.204682419454551,0.0431762301851354,2020-03-30,"all_sectors","uniform_weight"
"14",0.507279442411335,151633,10722,39916,8287,0.720148367670666,0.0509218362636423,0.189572469343364,0.0393573267223283,2020-03-31,"all_sectors","uniform_weight"
"15",0.493929254089121,78275,5317,22154,5110,0.706096196868009,0.0479631233311684,0.199844843761276,0.0460958360395468,2020-04-01,"all_sectors","uniform_weight"
"16",0.519303858098264,82017,5514,23843,5177,0.703700525950013,0.0473097613920086,0.204571389348869,0.0444183233091093,2020-04-02,"all_sectors","uniform_weight"
"17",0.485058167770911,75939,5307,22861,4758,0.697552013962247,0.0487484499150324,0.209994029302347,0.0437055068203739,2020-04-03,"all_sectors","uniform_weight"
"18",0.0896866381211654,11268,1007,6007,1847,0.559789358636793,0.0500273237617368,0.298425157732625,0.0917581598688459,2020-04-04,"all_sectors","uniform_weight"
"19",0.0654927663442302,8068,613,4624,1394,0.548880876250085,0.0417035172460712,0.3145792230764,0.094836383427444,2020-04-05,"all_sectors","uniform_weight"
"20",0.453699701920806,69557,5037,22827,4406,0.683089946674261,0.0494662515835682,0.224174334901352,0.0432694668408182,2020-04-06,"all_sectors","uniform_weight"
"21",0.454065060573791,71222,4998,21625,4064,0.6988784111315,0.0490437547223503,0.212199118821694,0.0398787153244561,2020-04-07,"all_sectors","uniform_weight"
"22",0.419210439796667,56919,4210,17870,3881,0.686763996138996,0.050796332046332,0.215612934362934,0.0468267374517375,2020-04-08,"all_sectors","uniform_weight"
"23",0.431901064717635,58355,4455,18655,3924,0.683401843328766,0.0521729965218002,0.21847076321306,0.0459543969363735,2020-04-09,"all_sectors","uniform_weight"
"24",0.367006398421891,48076,3996,16908,3579,0.662578039939911,0.0550724238206149,0.233024159649389,0.0493253765900853,2020-04-10,"all_sectors","uniform_weight"
"25",0.0706709491413975,6832,794,4937,1409,0.488977955911824,0.0568279415974807,0.353349556255368,0.100844546235328,2020-04-11,"all_sectors","uniform_weight"
"26",0.049978503325662,4656,448,3717,1060,0.471207367675336,0.0453395405323348,0.376176500354215,0.107276591438114,2020-04-12,"all_sectors","uniform_weight"
"27",0.121949369009383,16670,1131,5028,1281,0.691414350891746,0.0469099958523434,0.208544172542513,0.0531314807133969,2020-04-13,"all_sectors","uniform_weight"
"28",0.431000733415948,60718,4373,16981,3139,0.71256058490101,0.0513196653014282,0.199281782868409,0.0368379669291523,2020-04-14,"all_sectors","uniform_weight"
"29",0.360932859717184,96001.6795979581,5871.2468299235,17649.5334352768,5348.03788175695,0.768809937749025,0.0470186868472107,0.141342701070441,0.0428286743333232,2020-03-18,"all_sectors","weight2"
"30",0.372790377011592,103273.055891916,5387.22980101007,15982.3182689796,4330.19161128655,0.80073518940906,0.0417702801359594,0.123920073205745,0.0335744572492356,2020-03-19,"all_sectors","weight2"
"31",0.356058390778679,100012.051056819,4978.48260419463,14720.3499447995,3473.21361832292,0.811890928378889,0.0404149782023906,0.11949878496098,0.0281953084577413,2020-03-20,"all_sectors","weight2"
"32",0.11626169787448,33590.7424728329,1402.61342923156,3932.43054347359,1296.80812130426,0.835121225633803,0.0348712817841893,0.0977667051522158,0.0322407874297918,2020-03-21,"all_sectors","weight2"
"33",0.104318068383528,31371.4037173395,902.488511443721,2949.90437036414,866.708247228187,0.869242584742896,0.0250062589948601,0.0817363010830919,0.0240148551791518,2020-03-22,"all_sectors","weight2"
